name,name_display,address,category,popos_category,neighborhood,description,photo_url,year_built,reject,reject_reason,reject_auth,latitude,longitude,route_order,open,open_hours,open_days,open_notes,seating,restrooms,wifi,views,food,indoor,exercise,art,dogs,playground,seating_notes,restrooms_notes,wifi_notes,views_notes,food_notes,exercise_notes,art_notes,dogs_notes,playground_notes,transportation,popos_id_spur,popos_rating_spur,popos_downtown_plan,notes,created_at,updated_at
Mission Playground,Mission Playground,19th Street and Linda,Playground,,Mission,"This newly opened urban playground features playful water fountain sculptures, a playground, tennis and basketball courts, soccer field and the city's only outdoor public pool.",**Wendy has a photo that needs to be uploaded,,FALSE,,,37.7593,-122.4223,,FALSE,Sunrise to Sunset,Daily,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,http://sfrecpark.org/destination/mission-playground/,2013-07-16 16:51:08 UTC,2013-07-16 16:51:08 UTC
Hayes Valley Playground,Hayes Valley Playground,Hayes & Buchanan St,Playground,,Hayes Valley,"A quarter-acre inner city playground and clubhouse, Hayes Valley Playground is located in a diverse, community-oriented  neighborhood. Highlights include: 
play areas for school-aged children and tots, outdoor fitness equipment for adults, a stage and plaza for community gatherings, and community garden plots.
",http://creativehomeidea.com/wp-content/uploads/2011/09/The-front-part-of-Hayes-Valley-Community-Clubhouse-652x418.jpg,,FALSE,,,37.7761,-122.4274,,FALSE,Sunrise to Sunset,Daily,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,Outdoor fitness equipment for adults,,,Play areas for school-aged children and tots,,,,FALSE,http://sfrecpark.org/destination/hayes-valley-playground/,2013-07-16 16:41:12 UTC,2013-07-16 16:41:12 UTC
Sunnyside Conservatory,Sunnyside Conservatory,236 Monterey Boulevard,Conservatory,,Sunnyside,"Built in 1898, this gem is an extraordinary gathering space and botanic jewel, set off by a hundred-year old palm grove and the dramatic foliage of its surrounding gardens.",http://www.manlioandkristin.com/wp-content/uploads/1_sunnyside.jpeg,,,,,37.731861,-122.440824,,,Daylight Hours,Daylight Hours,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Green Stairs,,Green St & Taylor St,Stairwell,N/A,Telegraph Hill,"Stunning views of downtown SF and the TransAmerican Pyramid from this stairwell! Those running or moving quickly on these stairs beware, Signs of wear and tear on the stairs have made some of the steps slightly trickier to navigate so caution is advised. ",,,,,,37.798919,-122.413957,,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Francisco Street Steps,Francisco Street Steps,Francisco and Sansome,Stairwell,,Telegraph Hill,"Connecting the waterfront to the North Beach neighborhood, this stairway is an urban adventure. The entrance is hidden between apartment buildings at 150 and 155 Francisco St., off Sansome Street. Walk through a courtyard to make your start. Midway, take a left on Grant St. half a block to Jack Early Park, which offers a short staircase to a lookout that has stunning views of the Bay.",http://s3-media4.ak.yelpcdn.com/bphoto/In-SLtqH_9KYzQmjRiauig/l.jpg,,,,,37.805519,-122.406998,1,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Greenwich Street Stairs,Greenwich Street Stairs,Greenwich & Telegraph,Stairwell,N/A,Telegraph Hill,"This popular stairwell maintains an air of mystery and intrigue about it due to the thick  foliage surrounding it. There are two main sections of this stairwell. The upper section of the stairs is made of brick and runs hrough the edge of Pioneer Park. 
Further down, the stairs pass  underneath several houses before a sharp descent towards Sansome and Greenwich Streets.
",http://www.google.com/imgres?imgurl=http://s3-media3.ak.yelpcdn.com/bphoto/2WFXdIpt2y6vT_cc9ZPV8A/l.jpg&imgrefurl=http://www.yelp.com/biz_photos/greenwich-street-stairs-san-francisco?select%3D2WFXdIpt2y6vT_cc9ZPV8A&h=400&w=533&sz=73&tbnid=QQVVBi0jBSw9DM:&tbnh=88&tbnw=117&zoom=1&usg=__RWnf0nrLYgsc1rOt05dfWwzdR-A=&docid=URCmtX0N1KtfAM&itg=1&sa=X&ei=7dm4Uc-aIIadrgHWroHoAw&ved=0CDsQ9QEwBA&dur=1780,,,,,37.802719,-122.406616,2,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Filbert Steps,Filbert Steps,Filbert St & Sansome St,Stairwell,,Telegraph Hill,"What a workout! Hundreds of stairs, great views, gorgeous flowers and trees.",http://ww1.hdnux.com/photos/11/01/60/2366484/11/628x471.jpg,,,,,37.801861,-122.405663,3,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Baker Street steps ,Baker Street steps ,Baker and Vallejo ,Stairwell,,Cow Hollow,"This quiet, residential stretchis the longest continuous staircase in the north side neighborhoods, 202 steps in all. A beautiful view of the Palace of Fine Arts is in store.",,,,,,37.793959,-122.445048,,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Vallejo Stairway,,Vallejo and Jones,Stairwell,N/A,Telegraph Hill,"Want beautiful vistas? Come here! The stairs are surrounded by beautiful, well-maintained gardens. There are three separate stairways that run next to each other. 
",,,,,,37.797492,-122.415354,,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Noe Court Playground,Noe Court Playground,24th and Douglas,park,,Noe Valley,"This quant neighborhood park is completely gated so smaller kids have free reign. Featuring a playground, grass, picnic area, tennis and basketball courts and a dog-run.",http://www.parkscan.org/sites/default/parkphotos/144_2.jpg,,,,,37.751175,-122.438492,2,,,,,TRUE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"Picnic table, lawn, benches",,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
