name	description	address	latitude	longitude	type	pic_1	year_built	directions	open_times	spur_rating	foursquareid	spurid	twitter_hash_tag	transportation	downtown_plan	seating	seating_notes	food	food_notes	restroom	restroom_notes	notes
One Kearny	This rooftop terrace has extensive views of Market St. as well as rooftop architecture of nearby buildings. Landscaping and bench seating support this space.	1 Kearny St	37.78784	-122.40376	rooftop garden	1_Kearny.jpg	2012		Open Business Hours			0			1	1	23 linear seats.		No	1	Yes	
120 Howard	This space features plants along the entirety of the snippet and is served by an espresso cart.	120 Howard St	37.79107	-122.39305	snippet	120 Howard.jpg			8AM - 6PM			0			1		None.	1	Cart		None	
325 California East	"Two snippets can be found on the west and east sides of the building, connected by an interior walkway. The west snippet can be entered from Sansome Street, next to the Mandarin Hotel. There is a bench and bamboo in planters. The east snippet is on the B"	345 California St	37.79286	-122.40005	snippets	345 California_Snippet 1_Sansome St.JPG			Open at all times.			0			1	1	Bench for ~3 people; 10 chairs w/ tables	1	Caf̩ on one snippet.		None	
325 California West	"Two snippets can be found on the west and east sides of the building, connected by an interior walkway. The west snippet can be entered from Sansome Street, next to the Mandarin Hotel. There is a bench and bamboo in planters. The east snippet is on the B"	345 California St	37.79263	-122.40091	snippets	345 California_Snippet 2_Battery St.JPG			Open at all times.			0			1	1	Bench for ~3 people; 10 chairs w/ tables	1	Caf̩ on one snippet.		None	
55 Second Atrium		55 Second St	37.7891	-122.40041	atrium	55 Second_Atrium.jpg			Open Business Hours			0			1							
77 Van Ness	This space is in the front lobby of 77 Van Ness. It has tables and chairs and features a sculpture.	77 Van Ness Ave	37.77613	-122.41971	greenhouse	77_VAN_NESS.JPG			Open Business Hours			0			1	1	12 chairs w/ tables		No		No	
235 Pine	Linear park improvements along Commercial Street feature various types of trees and concrete linear seating. These spaces are served by many caf̩s and restaurants along Commercial Street. Additional seating is provided during lunch hours.	235 Pine St	37.79439	-122.40228	snippet	235Pine.jpg			Unknown			0			1							
Gap Building	This is a large plaza with several seating areas. Art sculptures are featured along with diverse landscaping.	2 Folsom St	37.79122985	-122.3912118	plaza	2 Folsom.jpg			Open At All Times			0			1	1	76 seats		None		None marked	
Intercontinental Hotel - Bay Terrace	"The Intercontinental Hotel provides two POPOS on the fourth and sixth floors. They have various seating arrangements and landscaping, each with views of the City."	888 Howard St	37.78197	-122.40468	terrace	InterCont Hotel B_Bay Terrace1.JPG			9:00am - 5:00pm			0			1	1	"49 chairs, 6 chaise lounge"		None	1	Hotel. Could use the lobby restrooms	
Intercontinental Hotel - Pacific Terrace	"The Intercontinental Hotel provides two POPOS on the fourth and sixth floors. They have various seating arrangements and landscaping, each with views of the City."	888 Howard St	37.78189	-122.40483	terrace	InterCont Hotel A_Pacific Terrace.JPG			9:00am - 5:00pm			0			1		Unknown - seating arranged for private event(s)		None	1	Hotel. Could use the lobby restrooms etc	
