name,name_display,address,category,popos_category,neighborhood,description,photo_url,year_built,reject,reject_reason,reject_auth,latitude,longitude,route_order,open,open_hours,open_days,open_notes,seating,restrooms,wifi,views,food,indoor,exercise,art,dogs,playground,seating_notes,restrooms_notes,wifi_notes,views_notes,food_notes,exercise_notes,art_notes,dogs_notes,playground_notes,transportation,popos_id_spur,popos_rating_spur,popos_downtown_plan,notes
Sunnyside Conservatory,Sunnyside Conservatory,236 Monterey Boulevard,Conservatory,,Sunnyside,"Built in 1898, this gem is an extraordinary gathering space and botanic jewel, set off by a hundred-year old palm grove and the dramatic foliage of its surrounding gardens.",http://www.manlioandkristin.com/wp-content/uploads/1_sunnyside.jpeg,,,,,37.731861,-122.440824,,,Daylight Hours,Daylight Hours,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
Green Stairs,,Green St & Taylor St,Stairwell,N/A,Telegraph Hill,"Stunning views of downtown SF and the TransAmerican Pyramid from this stairwell! Those running or moving quickly on these stairs beware, Signs of wear and tear on the stairs have made some of the steps slightly trickier to navigate so caution is advised. ",,,,,,37.7989188,-122.4139568,,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,
Francisco Street Steps,Francisco Street Steps,Francisco and Sansome,Stairwell,,Telegraph Hill,"Connecting the waterfront to the North Beach neighborhood, this stairway is an urban adventure. The entrance is hidden between apartment buildings at 150 and 155 Francisco St., off Sansome Street. Walk through a courtyard to make your start. Midway, take a left on Grant St. half a block to Jack Early Park, which offers a short staircase to a lookout that has stunning views of the Bay.",http://s3-media4.ak.yelpcdn.com/bphoto/In-SLtqH_9KYzQmjRiauig/l.jpg,,,,,37.7930795,-122.401164,1,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,
Greenwich Street Stairs,Greenwich Street Stairs,Greenwich & Telegraph,Stairwell,N/A,Telegraph Hill,"This popular stairwell maintains an air of mystery and intrigue about it due to the thick  foliage surrounding it. There are two main sections of this stairwell. The upper section of the stairs is made of brick and runs hrough the edge of Pioneer Park. 
Further down, the stairs pass  underneath several houses before a sharp descent towards Sansome and Greenwich Streets.
",http://www.google.com/imgres?imgurl=http://s3-media3.ak.yelpcdn.com/bphoto/2WFXdIpt2y6vT_cc9ZPV8A/l.jpg&imgrefurl=http://www.yelp.com/biz_photos/greenwich-street-stairs-san-francisco?select%3D2WFXdIpt2y6vT_cc9ZPV8A&h=400&w=533&sz=73&tbnid=QQVVBi0jBSw9DM:&tbnh=88&tbnw=117&zoom=1&usg=__RWnf0nrLYgsc1rOt05dfWwzdR-A=&docid=URCmtX0N1KtfAM&itg=1&sa=X&ei=7dm4Uc-aIIadrgHWroHoAw&ved=0CDsQ9QEwBA&dur=1780,,,,,37.802721,-122.406617,2,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,
Filbert Steps,Filbert Steps,Filbert St & Sansome St,Stairwell,,Telegraph Hill,"What a workout! Hundreds of stairs, great views, gorgeous flowers and trees.",http://ww1.hdnux.com/photos/11/01/60/2366484/11/628x471.jpg,,,,,37.8022296,-122.4030064,3,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,
Baker Street steps ,Baker Street steps ,Baker and Vallejo ,Stairwell,,Cow Hollow,"This quiet, residential stretchis the longest continuous staircase in the north side neighborhoods, 202 steps in all. A beautiful view of the Palace of Fine Arts is in store.",,,,,,37.7939585,-122.4450479,,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,
Vallejo Stairway,,Vallejo and Jones,Stairwell,N/A,Telegraph Hill,"Want beautiful vistas? Come here! The stairs are surrounded by beautiful, well-maintained gardens. There are three separate stairways that run next to each other. 
",,,,,,37.7974923,-122.415354,,,24/7,7 days,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,
Noe Court Playground,Noe Court Playground,24th and Douglas,park,,Noe Valley,"This quant neighborhood park is completely gated so smaller kids have free reign. Featuring a playground, grass, picnic area, tennis and basketball courts and a dog-run.",http://www.parkscan.org/sites/default/parkphotos/144_2.jpg,,,,,37.7510304,-122.4384811,2,,,,,TRUE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"Picnic table, lawn, benches",,,,,,,,,,,,,
Seward Street Slides,Seward Street Slides,Seward and Douglass St,slide,,Castro,This unique concrete slide in the Castro is a true gem. Fun for kids and kids at heart.,http://www.sftravel.com/images/blog/seward-street-slides-two.jpg,,,,,37.7578769,-122.439073,3,,mon-sun 9am-5pm,7 days,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,
Douglass Playground and Dog Park,Douglass Playground and Dog Park,26th & Douglass,park,,Noe Valley,"Douglass Playground has an excellent hillside location complete with trees and rock outcroppings. Highlights include a Clubhouse, children's play area, informal lawn areas, tennis courts, and a baseball field. There are picnic tables, restrooms, and a dog park.",http://www.parkscan.org/sites/default/parkphotos/131_2.jpg,,,,,37.7478303,-122.4381787,1,,Daylight Hours,7 days,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Picnic table, lawn, benches",,,,,,,,,,,,,
